ssvid,eez,year,flag_iso3,fishing_hours,eez_iso3
431704490,8322,2016,JPN,316.6455555555555,PHL
431704490,8331,2016,JPN,120.47777777777779,KHM
431704490,8350,2016,JPN,66.93138888888889,SOM
431704490,8362,2016,JPN,0.17305555555555555,CPV
431704490,8477,2016,JPN,22.392777777777777,COD
431704490,48951,2016,JPN,12.563055555555556,HTI
431704490,8321,2016,JPN,21.48472222222222,TWN
431704490,49003,2016,JPN,22.696944444444444,NA
431704490,8364,2016,JPN,6.304166666666666,ESP
431704490,8431,2016,JPN,9.450277777777778,ECU
431704490,8440,2016,JPN,19.370833333333334,FRA
431704490,8406,2016,JPN,93.73611111111111,CUB
431704490,8478,2016,JPN,33.77027777777778,AGO
431704490,8407,2016,JPN,123.97277777777778,GBR
431704490,8312,2016,JPN,39.907222222222224,FRA
431704490,8319,2016,JPN,48.68361111111111,USA
431704490,48980,2016,JPN,9.79138888888889,USA
431704490,8453,2016,JPN,71.08638888888889,USA
431704490,8372,2016,JPN,10.421388888888888,LBY
431704490,8394,2016,JPN,10.22638888888889,COG
431704490,NA,2016,JPN,6265.025555555554,high_seas
431704490,8398,2016,JPN,10.786944444444444,GNQ
431704490,8363,2016,JPN,8.427222222222222,PRT
431704490,8480,2016,JPN,9.515277777777778,IND
431704490,8346,2016,JPN,9.163055555555555,LKA
431704490,8426,2016,JPN,133.28722222222223,COL
431704490,8354,2016,JPN,12.049444444444445,OMN
431704490,8492,2016,JPN,112.43972222222222,IDN
431704490,8484,2016,JPN,367.5419444444445,VNM
431704490,8368,2016,JPN,4.810277777777778,ESH
431704490,8318,2016,JPN,89.21638888888889,MHL
431704490,8332,2016,JPN,167.55611111111114,THA
431704490,5690,2016,JPN,61.27194444444444,RUS
431704490,8323,2016,JPN,40.20166666666667,AUS
431704490,8395,2016,JPN,219.48583333333335,NAM
431704490,8425,2016,JPN,65.66861111111112,NIC
431704490,8452,2016,JPN,9.678055555555556,USA
431704490,8397,2016,JPN,15.049722222222222,STP
431704490,8487,2016,JPN,165.63166666666666,JPN
416002141,NA,2017,TWN,840.265,high_seas
416236200,NA,2019,TWN,4598.161666666667,high_seas
416236200,8315,2019,TWN,33.659444444444446,PLW
416236200,8316,2019,TWN,2.866666666666666,FSM
416236200,8492,2019,TWN,81.38305555555556,IDN
416236200,8322,2019,TWN,41.665277777777774,PHL
416002481,NA,2022,TWN,2770.3064388888884,high_seas
416002481,8322,2022,TWN,25.138194444444448,PHL
412440549,NA,2019,CHN,1193.8016666666679,high_seas
412440549,8486,2019,CHN,28.682500000000005,CHN
412440549,8315,2019,CHN,6.754999999999999,PLW
412440549,8316,2019,CHN,0.5994444444444444,FSM
412440549,8488,2019,CHN,0.6024999999999999,KIR
431601317,8315,2020,JPN,272.18027777777775,PLW
431601317,NA,2020,JPN,1103.4375,high_seas
431601317,8487,2020,JPN,492.5647222222222,JPN
431501545,8487,2018,JPN,10.783055555555556,JPN
431501545,NA,2018,JPN,566.4872222222223,high_seas
431501545,8315,2018,JPN,430.52944444444444,PLW
416003189,8315,2018,TWN,1.3825,PLW
416003189,NA,2018,TWN,4509.9636111111095,high_seas
548905000,8316,2019,PHL,0.24305555555555555,FSM
548905000,8324,2019,PHL,41.067499999999995,PNG
548905000,8326,2019,PHL,13.081111111111111,TUV
416002218,8315,2018,TWN,13.1125,PLW
416002218,NA,2018,TWN,1365.5575,high_seas
416000985,NA,2020,TWN,138.24944444444444,high_seas
548924000,8324,2022,PHL,1701.2540350019462,PNG
431155000,8487,2021,JPN,148.1669444444444,JPN
431155000,NA,2021,JPN,1.4205555555555553,high_seas
431155000,8324,2021,JPN,1028.488989472501,PNG
431155000,8316,2021,JPN,288.4916666666668,FSM
416002983,8315,2016,TWN,0.7077777777777777,PLW
416002983,8492,2016,TWN,246.8147222222222,IDN
416002983,8324,2016,TWN,15.834999999999999,PNG
416002983,NA,2016,TWN,1691.6563888888888,high_seas
416003483,8321,2020,TWN,27.977499999999996,TWN
416003483,NA,2020,TWN,1919.3569444444445,high_seas
416005556,8488,2021,TWN,195.4425000000003,KIR
416005556,8322,2021,TWN,3.588611111111112,PHL
416005556,8324,2021,TWN,4.068888888888888,PNG
416000502,8318,2019,TWN,0.3186111111111111,MHL
416000502,8315,2019,TWN,3.0669444444444443,PLW
416000502,NA,2019,TWN,4905.913611111111,high_seas
416000502,8316,2019,TWN,0.041944444444444444,FSM
510057000,8487,2021,FSM,60.41656944444446,JPN
510057000,8316,2021,FSM,944.1475361050013,FSM
510057000,8324,2021,FSM,365.1111111111114,PNG
431167000,8314,2016,JPN,205.89499999999998,SLB
431167000,48957,2016,JPN,13.56111111111111,USA
431167000,8316,2016,JPN,907.1713888888889,FSM
431167000,8324,2016,JPN,533.1297222222223,PNG
431167000,8487,2016,JPN,0.5169444444444444,JPN
431167000,NA,2016,JPN,304.7036111111112,high_seas
431167000,8315,2016,JPN,34.97972222222222,PLW
432845000,8487,2022,JPN,4.228391666666667,JPN
432845000,8316,2022,JPN,24.026388888888896,FSM
416216900,48954,2023,TWN,240.55916666666667,TWN
416216900,8321,2023,TWN,861.4808333333334,TWN
416003933,NA,2023,TWN,1175.0694444444446,high_seas
416003933,8321,2023,TWN,619.1497222222222,TWN
416003933,8487,2023,TWN,137.92361111111114,JPN
416003933,8486,2023,TWN,1.6430555555555553,CHN
416003933,8322,2023,TWN,582.0913888888889,PHL
432726000,8324,2019,JPN,909.2122222222225,PNG
432726000,8316,2019,JPN,589.8388888888892,FSM
432726000,8487,2019,JPN,1.1372222222222224,JPN
432726000,8314,2019,JPN,27.989444444444445,SLB
416500000,8324,2020,TWN,369.83750000000026,PNG
416500000,8318,2020,TWN,41.17611111111113,MHL
416500000,8316,2020,TWN,830.049166666667,FSM
416500000,8314,2020,TWN,28.67611111111113,SLB
416500000,8488,2020,TWN,356.7238888888892,KIR
416500000,8486,2020,TWN,0.5258333333333334,CHN
416500000,8326,2020,TWN,228.71611111111133,TUV
416500000,NA,2020,TWN,51.764444444444486,high_seas
416500000,8317,2020,TWN,320.621388888889,NRU
548051500,8326,2014,PHL,3.798333333333333,TUV
548051500,8318,2014,PHL,7.186111111111111,MHL
548051500,NA,2014,PHL,0.5866666666666667,high_seas
548051500,8316,2014,PHL,11.891111111111114,FSM
548051500,8324,2014,PHL,218.3002777777778,PNG
548051500,8488,2014,PHL,123.14916666666667,KIR
548051500,8317,2014,PHL,20.86333333333333,NRU
548051500,8314,2014,PHL,68.76194444444445,SLB
431817000,8487,2024,JPN,61.46666666666684,JPN
431680630,NA,2018,JPN,114.03055555555557,high_seas
431680630,8315,2018,JPN,747.0533333333333,PLW
431680630,8487,2018,JPN,252.37416666666664,JPN
416003236,8486,2021,TWN,0.08388888888888889,CHN
416003236,8321,2021,TWN,10.006111111111114,TWN
416002514,8315,2016,TWN,2489.3550000000005,PLW
416002514,NA,2016,TWN,531.9344444444444,high_seas
431500960,NA,2024,JPN,196.6247222222222,high_seas
431500960,8487,2024,JPN,89.61194444444445,JPN
