filepath,valid_sci_name,iucn_weight,ED,FD,spp_weight
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_caroliniana.tif,Acropora caroliniana,0.5,0.022608176962448462,0.291955580153928,0.1572818785581882
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_cerealis.tif,Acropora cerealis,0.1,0.005609395242241726,0.25111341937248,0.025672281461472175
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_cervicornis.tif,Acropora cervicornis,1,0.064563412025496425,0.199985567141099,0.2645489791665954
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_chesterfieldensis.tif,Acropora chesterfieldensis,0.1,0.013150450124990987,0.203214858074001,0.0216365308198992
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_clathrata.tif,Acropora clathrata,0.1,0.006264619351435799,0.208970387243288,0.02152350065947238
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_cophodactyla.tif,Acropora cophodactyla,0.25,0.011222027618628628,0.377154856489533,0.0970942210270404
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_cytherea.tif,Acropora cytherea,0.1,0.009281528826437449,0.226395863117976,0.023567739194441346
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_dendrum.tif,Acropora dendrum,0.5,0.010122799675029385,0.250764040046987,0.1304434198610082
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_derawanensis.tif,Acropora derawanensis,0.5,0.006956768109044221,0.446993276197214,0.22697502215312912
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_desalwii.tif,Acropora desalwii,0.5,0.01049875028750728,0.237075715472002,0.12378723287975464
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_digitifera.tif,Acropora digitifera,0.25,0.009884116239912016,0.255834668285505,0.06642969613135426
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_divaricata.tif,Acropora divaricata,0.25,0.008718943319181657,0.272604875163567,0.07033095462068717
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_donei.tif,Acropora donei,0.5,0.04772872365503343,0.189336771377788,0.11853274751641071
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_downingi.tif,Acropora downingi,0.1,0.01167649847524224,0.302880008756124,0.03145565072313662
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_echinata.tif,Acropora echinata,0.5,0.08224537901060551,0.23112366911321,0.15668452406190775
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_elegans.tif,Acropora elegans,0.5,0.014560530255607527,0.385444914455324,0.20000272235546576
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_elseyi.tif,Acropora elseyi,0.1,0.06700681607792629,0.193753582932392,0.026076039901031828
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_exquisita.tif,Acropora exquisita,0.25,0.011379700205894698,0.270932380527282,0.07057802018329418
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_florida.tif,Acropora florida,0.25,0.01994688315756924,0.243413408284441,0.06584007286050256
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_gemmifera.tif,Acropora gemmifera,0.1,0.008056095689738502,0.208793434109212,0.02168495297989505
