lat,lon,ais_reception_positions_per_day_class_A,ais_reception_positions_per_day_class_B
-90,-180,614.82654968476,191.786538792252
-90,-179,614.812835492576,191.785506993324
-90,-178,614.799449519449,191.783612346927
-90,-177,614.786496896616,191.780982282824
-90,-176,614.774033180771,191.777738733792
-90,-175,614.762070216463,191.773996254996
-90,-174,614.750577848656,191.769860518985
-90,-173,614.739482247759,191.765427181214
-90,-172,614.72866312578,191.760781097657
-90,-171,614.717953045261,191.755995866211
-90,-170,614.707142070232,191.75113365557
-90,-169,614.695990097493,191.746245281347
-90,-168,614.684247506093,191.741370487215
-90,-167,614.671682655486,191.736538389316
-90,-166,614.658112783011,191.731768045566
-90,-165,614.643433536723,191.727069114847
-90,-164,614.627642121717,191.72244257674
-90,-163,614.610849949512,191.717881487883
-90,-162,614.593282539746,191.713371756959
-90,-161,614.575266738238,191.708892925347
-90,-160,614.557207485299,191.704418945324
-90,-159,614.539557886397,191.699918951556
-90,-158,614.522786934184,191.695358024033
-90,-157,614.507348929292,191.690697942974
-90,-156,614.493657689371,191.685897936343
-90,-155,614.482067367317,191.680915420808
-90,-154,614.47286044046,191.67570673624
-90,-153,614.466242418053,191.670227872158
-90,-152,614.462342141053,191.66443518339
-90,-151,614.461216228526,191.65828608993
-90,-150,614.462856190592,191.651739755018
-90,-149,614.467196888846,191.644757733457
-90,-148,614.474125288169,191.63730458177
-90,-147,614.483488735062,191.629348421109
-90,-146,614.495102264033,191.620861443675
-90,-145,614.508754654242,191.611820354072
-90,-144,614.524213128641,191.602206738009
-90,-143,614.541226724757,191.592007351649
-90,-142,614.559528490743,191.58121432695
-90,-141,614.578836789791,191.569825289696
-90,-140,614.598856142916,191.557843388938
-90,-139,614.619278190832,191.54527723832
-90,-138,614.639783487182,191.532140771739
-90,-137,614.660044902528,191.518453017057
-90,-136,614.679733373916,191.504237793512
-90,-135,614.698526533739,191.489523339419
-90,-134,614.716120370621,191.474341878167
-90,-133,614.73224352838,191.458729131001
-90,-132,614.746673201759,191.442723786372
-90,-131,614.759250962318,191.426366935424
-90,-130,614.769896404721,191.409701484237
-90,-129,614.778616411309,191.392771552941
-90,-128,614.785508192431,191.375621872561
-90,-127,614.790755073794,191.358297189624
-90,-126,614.794615121837,191.34084168881
-90,-125,614.797403867694,191.323298443237
-90,-124,614.799473309342,191.305708901379
-90,-123,614.801189796886,191.288112419341
-90,-122,614.80291323715,191.270545845476
-90,-121,614.804979367253,191.253043164115
-90,-120,614.807685871081,191.235635203455
-90,-119,614.811282145468,191.218349411445
-90,-118,614.815961847378,191.201209702199
-90,-117,614.82185713267,191.184236373292
-90,-116,614.829033758941,191.167446093596
-90,-115,614.837486840739,191.150851958466
-90,-114,614.847137801351,191.134463608704
-90,-113,614.857833715562,191.118287407067
-90,-112,614.869350582821,191.10232666516
-90,-111,614.881401987158,191.086581912502
-90,-110,614.893654076981,191.071051197619
-90,-109,614.905746908586,191.055730411262
-90,-108,614.91732110404,191.040613620161
-90,-107,614.928047678328,191.025693400107
-90,-106,614.937658013755,191.010961156752
-90,-105,614.945970499958,190.996407422759
-90,-104,614.952910439955,190.982022120438
-90,-103,614.958520479864,190.967794779583
-90,-102,614.962959964751,190.953714701781
-90,-101,614.966493065272,190.939771063011
-90,-100,614.96946700589,190.925952949144
-90,-99,614.972282991395,190.912249320015
-90,-98,614.975363270696,190.898648900954
-90,-97,614.979118077392,190.885140003472
-90,-96,614.983915949412,190.871710279813
-90,-95,614.990060246699,190.858346420515
-90,-94,614.99777370934,190.845033808049
-90,-93,615.007191803752,190.831756144291
-90,-92,615.018364544617,190.818495074561
-90,-91,615.031265581468,190.805229835875
-90,-90,615.045806675064,190.791936961669
-90,-89,615.061855305895,190.778590079644
-90,-88,615.079253059733,190.765159842313
-90,-87,615.097832607789,190.751614031707
-90,-86,615.117431494768,190.737917878921
-90,-85,615.137901513466,190.724034636853
-90,-84,615.159113093282,190.709926437347
-90,-83,615.180954789868,190.695555454593
-90,-82,615.203328544135,190.680885382513
-90,-81,615.226141823164,190.665883215789
-90,-80,615.249298018073,190.650521302589
-90,-79,615.272686543122,190.634779612599
-90,-78,615.296173973409,190.618648137772
-90,-77,615.319597310971,190.60212931752
-90,-76,615.342760134584,190.585240356981
-90,-75,615.365432013427,190.568015289107
-90,-74,615.387351200749,190.550506622468
-90,-73,615.408230298461,190.532786417053
-90,-72,615.427764326268,190.514946645756
-90,-71,615.445640444586,190.497098726598
-90,-70,615.461548478871,190.479372153223
-90,-69,615.475191371915,190.461912204366
-90,-68,615.486294743949,190.444876774945
-90,-67,615.494614862989,190.428432435627
-90,-66,615.499944503435,190.412749889722
-90,-65,615.502116387007,190.397999047673
-90,-64,615.501004131564,190.384343976249
-90,-63,615.496520862755,190.371937995731
-90,-62,615.488615845675,190.36091919277
-90,-61,615.477269655056,190.351406588097
-90,-60,615.462488505446,190.343497150584
-90,-59,615.444298406351,190.337263786896
-90,-58,615.422739785362,190.33275436574
-90,-57,615.397863147569,190.329991764532
-90,-56,615.369726213238,190.328974861447
-90,-55,615.338392817818,190.329680342495
-90,-54,615.303933679403,190.332065155225
-90,-53,615.266428952082,190.336069419943
-90,-52,615.225972309202,190.341619604374
-90,-51,615.182676147183,190.348631778812
-90,-50,615.136677383018,190.357014789422
-90,-49,615.088143248648,190.366673216735
-90,-48,615.037276465471,190.377510019506
-90,-47,614.984319218252,190.389428797011
-90,-46,614.929555434165,190.402335634683
-90,-45,614.87331100277,190.41614052486
-90,-44,614.815951733073,190.430758376909
-90,-43,614.757879019461,190.446109647754
-90,-42,614.699523362444,190.462120635582
-90,-41,614.641336046737,190.478723485978
-90,-40,614.583779403739,190.495855962991
-90,-39,614.527316171245,190.513461036727
-90,-38,614.472398503087,190.531486337051
-90,-37,614.4194571761,190.549883517757
-90,-36,614.368891498691,190.568607570898
-90,-35,614.321060349098,190.587616124955
-90,-34,614.276274674185,190.606868754669
-90,-33,614.234791672954,190.626326324936
