lat,lon,elevation_m,distance_from_port_m,distance_from_shore_m,pixel_id,pixel_area_m2
0,88,-4406.5587,930019.8943244,815346.6,24403,12308778361.4695
0,-148,-4309.3904,1122339.8887625,962585.1,24225,12308778361.4695
0,6,-2657.24859611231,50077.2502436001,32812.9,24352,12308778361.4695
0,157,-2224.029,666453.031044101,308474.5,24463,12308778361.4695
0,66,-3206.1921,772237.4615713,717252.2,24381,12308778361.4695
0,-164,-4868.3318,594217.424824401,398967.9,24209,12308778361.4695
0,94,-4433.4701,426421.8196145,275405.3,24409,12308778361.4695
0,-128,-4557.383,1695121.968775,1677381.3,24245,12308778361.4695
0,107,-40.7784291923582,174416.9764618,23973.4,24420,12308778361.4695
0,-91,-1703.30980909829,61897.1429968,25873.8,24282,12308778361.4695
0,155,-2425.85070000001,512444.9559927,104362,24461,12308778361.4695
0,133,-3762.9452,167426.4248727,118773.2,24439,12308778361.4695
0,168,-4242.84300000001,212334.4087737,179129.1,24474,12308778361.4695
0,64,-3757.1507,994146.4500353,939709.6,24379,12308778361.4695
0,-30,-3534.6598,579481.8958218,575913.999999999,24316,12308778361.4695
0,50,-5085.1639,597099.6935547,506046.7,24365,12308778361.4695
0,-177,-4918.80448044804,1107892.5297627,33146.6,24196,12308778361.4695
0,166,-4321.7987,127208.9342834,123545.7,24472,12308778361.4695
0,167,-4302.5689,135161.4130757,129984.7,24473,12308778361.4695
0,-155,-4746.0977,371052.9116528,327293.9,24218,12308778361.4695
0,-28,-3466.4473,726758.799084,723774.7,24318,12308778361.4695
0,-23,-3931.1408,1200453.336,1198427.5,24323,12308778361.4695
0,108,-29.4787698201554,71719.9174610999,22112.8,24421,12308778361.4695
0,80,-4607.8362,607436.0615965,600811.3,24395,12308778361.4695
0,154,-2950.7855,452396.5216448,76243.4,24460,12308778361.4695
0,173,-3277.92050842328,119057.5040065,23357.7,24479,12308778361.4695
0,-84,-3263.0425,349332.9237581,333878.5,24289,12308778361.4695
0,-87,-2705.1423,376763.4654657,334430.3,24286,12308778361.4695
0,-5,-4737.4367,467704.346882201,514125.2,24341,12308778361.4695
0,-38,-4447.4059,430149.6035836,455604.4,24308,12308778361.4695
0,78,-4754.5652,563760.0088692,555100.6,24393,12308778361.4695
0,-37,-4465.3165,485340.6923099,512139.1,24309,12308778361.4695
0,-102,-3229.2293,1065361.1235071,1064448.3,24271,12308778361.4695
0,-82,-2625.3195,175804.1668705,143583.3,24291,12308778361.4695
0,163,-4395.5936,397762.154109,396591.2,24469,12308778361.4695
0,84,-4535.7489,730863.4504284,723354.700000001,24399,12308778361.4695
0,147,-4512.0452,290577.3010553,259110,24453,12308778361.4695
0,-171,-5533.58229999999,1293884.245375,387079.7,24202,12308778361.4695
0,-45,-2563.9408,298492.0048225,203062.5,24301,12308778361.4695
0,58,-4728.01830000001,614601.3630372,571886.2,24373,12308778361.4695
0,117,-424.293543307086,28117.531587,6086.8,24423,12308778361.4695
0,-132,-4400.57860000001,1374585.2111875,1367439.4,24241,12308778361.4695
0,0,-4854.9764,84364.9733169999,537680.5,24346,12308778361.4695
0,90,-4187.8814,762923.8429988,610729.300000001,24405,12308778361.4695
0,73,-1249.28864637565,48766.8159836,24882.5,24388,12308778361.4695
0,51,-5097.39290000001,681056.7486608,575084.5,24366,12308778361.4695
0,1,-4691.8733,178078.9945826,501683.7,24347,12308778361.4695
0,-101,-3275.5509,955198.2064326,954130.900000001,24272,12308778361.4695
0,57,-4704.5221,568900.003696301,519075.8,24372,12308778361.4695
0,142,-3100.9865,377915.5376896,226679.1,24448,12308778361.4695
0,60,-4430.79189999999,747450.0001224,718712.6,24375,12308778361.4695
0,-41,-4002.9147,426251.2022732,364684.400000001,24305,12308778361.4695
0,-176,-5382.0782,1160195.84535,114040.9,24197,12308778361.4695
0,-100,-3303.247,845299.6421492,844072.2,24273,12308778361.4695
0,145,-3773.5982,310716.079788999,141003.3,24451,12308778361.4695
0,138,-3818.1395,321885.9165494,225195.6,24444,12308778361.4695
0,130,-1475.9981894991,69179.0727971001,36232.3,24436,12308778361.4695
0,-167,-5177.10800000001,878147.998759,646662.1,24206,12308778361.4695
0,-178,-5266.1969,1048787.4610254,104400.9,24195,12308778361.4695
0,-163,-4963.1136,512947.7989842,292758.4,24210,12308778361.4695
0,-173,-5624.70949999999,1359453.964575,371782.6,24200,12308778361.4695
0,152,-4387.4499,389351.6570309,262827,24458,12308778361.4695
0,89,-3540.8825,843399.524295601,711731.5,24404,12308778361.4695
0,122,-1216.27662386707,48294.7032525,11754.4,24428,12308778361.4695
0,-98,-3329.5536,626851.801594,625270.7,24275,12308778361.4695
0,-106,-3641.8833,1507495.311475,1158831,24267,12308778361.4695
0,53,-5020.079,586634.3633463,504397.5,24368,12308778361.4695
0,177,-5338.6255,514712.308817701,234682.8,24483,12308778361.4695
0,65,-3703.1247,883280.4899358,828468.6,24380,12308778361.4695
0,-175,-5438.2978,1220185.3253375,221987.1,24198,12308778361.4695
0,-2,-5042.857,179117.0379506,475013.2,24344,12308778361.4695
0,-180,-5230.8012,844100.7274417,314039.2,24193,12308778361.4695
0,-13,-4376.0745,631569.3809623,627009.3,24333,12308778361.4695
0,165,-4360.4227,196925.5309647,195028.2,24471,12308778361.4695
0,-127,-4541.9106,1783470.1723125,1762487.9,24246,12308778361.4695
0,82,-4453.4725,644765.6047568,636631.5,24397,12308778361.4695
0,104,-16.8793820558526,69621.5074108001,8610.30000000002,24417,12308778361.4695
0,103,-11.9287784679089,53277.8510705,3235.3,24416,12308778361.4695
0,-117,-3992.2193,2179061.203925,1350258.5,24256,12308778361.4695
0,-121,-4212.21300000001,2342693.734675,1653187.7,24252,12308778361.4695
0,-81,-1723.88328470196,102562.8139012,44778.9000000001,24292,12308778361.4695
0,-83,-3075.8052,255961.7998393,241482,24290,12308778361.4695
0,-172,-5582.0573,1389261.8687,363835.3,24201,12308778361.4695
0,-89,-2355.2729,164753.3561287,149998.6,24284,12308778361.4695
0,-104,-3410.4392,1286208.1117375,1244557.6,24269,12308778361.4695
