forecast_horizon,.metric,.estimator,.estimate,region,testing_ocean
1,rsq_trad,standard,0.2351557025866584,Global,Southern Ocean
1,rsq,standard,0.6753553414902498,Global,Southern Ocean
1,rmse,standard,1.4419986448472772e-7,Global,Southern Ocean
1,nrmse,standard,0.8716337163227371,Global,Southern Ocean
1,rsq_trad,standard,0.3893696148294946,Global,South Pacific Ocean
1,rsq,standard,0.4607443343768173,Global,South Pacific Ocean
1,rmse,standard,1.1647686781520198e-7,Global,South Pacific Ocean
1,nrmse,standard,0.7813471585528319,Global,South Pacific Ocean
1,rsq_trad,standard,0.2949521058829878,Global,South Atlantic Ocean
1,rsq,standard,0.4416596402074412,Global,South Atlantic Ocean
1,rmse,standard,6.545317224524055e-7,Global,South Atlantic Ocean
1,nrmse,standard,0.839514573038889,Global,South Atlantic Ocean
1,rsq_trad,standard,0.5913026017056742,Global,Indian Ocean
1,rsq,standard,0.6352660862736057,Global,Indian Ocean
1,rmse,standard,1.3372883751081008e-7,Global,Indian Ocean
1,nrmse,standard,0.6392160845955407,Global,Indian Ocean
1,rsq_trad,standard,0.6606275531224332,Global,South China and Easter Archipelagic Seas
1,rsq,standard,0.8335750488882094,Global,South China and Easter Archipelagic Seas
1,rmse,standard,4.531662027367988e-6,Global,South China and Easter Archipelagic Seas
1,nrmse,standard,0.5816515238346663,Global,South China and Easter Archipelagic Seas
1,rsq_trad,standard,0.8602703756411607,Global,North Atlantic Ocean
1,rsq,standard,0.8797081699339899,Global,North Atlantic Ocean
1,rmse,standard,5.00307268659532e-7,Global,North Atlantic Ocean
1,nrmse,standard,0.3737488276298664,Global,North Atlantic Ocean
1,rsq_trad,standard,0.624325443170369,Global,North Pacific Ocean
1,rsq,standard,0.8995717373571998,Global,North Pacific Ocean
1,rmse,standard,1.2532612918280522e-6,Global,North Pacific Ocean
1,nrmse,standard,0.6128553361614587,Global,North Pacific Ocean
1,rsq_trad,standard,0.9413503474612603,Global,Mediterranean Region
1,rsq,standard,0.9421628838939748,Global,Mediterranean Region
1,rmse,standard,5.642001313601047e-7,Global,Mediterranean Region
1,nrmse,standard,0.24183167598882435,Global,Mediterranean Region
1,rsq_trad,standard,0.7674666604630013,Global,Arctic Ocean
1,rsq,standard,0.7926816701166857,Global,Arctic Ocean
1,rmse,standard,5.31920864385655e-7,Global,Arctic Ocean
1,nrmse,standard,0.4819986633923953,Global,Arctic Ocean
