forecast_horizon,scenario,mpa_coverage,fishing_hours,observed,fishing_hours_millions
1,Protecting unfished pixels,MPA coverage: 3%,55082007.4969415,Predicted,55.0820074969415
2,Protecting unfished pixels,MPA coverage: 3%,54572533.856798775,Predicted,54.57253385679878
3,Protecting unfished pixels,MPA coverage: 3%,54707121.03748079,Predicted,54.70712103748079
1,Protecting unfished pixels,MPA coverage: 5%,54875588.76449259,Predicted,54.87558876449259
2,Protecting unfished pixels,MPA coverage: 5%,54174772.38578575,Predicted,54.17477238578575
3,Protecting unfished pixels,MPA coverage: 5%,54182937.02202788,Predicted,54.18293702202788
1,Protecting unfished pixels,MPA coverage: 10%,54807856.0871503,Predicted,54.8078560871503
2,Protecting unfished pixels,MPA coverage: 10%,54163195.45119147,Predicted,54.16319545119147
3,Protecting unfished pixels,MPA coverage: 10%,53039552.70537228,Predicted,53.03955270537228
1,Protecting unfished pixels,MPA coverage: 16%,54719424.02610911,Predicted,54.71942402610911
2,Protecting unfished pixels,MPA coverage: 16%,53923790.4932682,Predicted,53.9237904932682
3,Protecting unfished pixels,MPA coverage: 16%,52651919.65851813,Predicted,52.651919658518125
1,Protecting unfished pixels,MPA coverage: 20%,54598939.84308974,Predicted,54.59893984308974
2,Protecting unfished pixels,MPA coverage: 20%,53724513.729961716,Predicted,53.724513729961714
3,Protecting unfished pixels,MPA coverage: 20%,52308773.53746593,Predicted,52.30877353746593
1,Protecting unfished pixels,MPA coverage: 30%,54456151.84132847,Predicted,54.45615184132847
2,Protecting unfished pixels,MPA coverage: 30%,53545736.3450043,Predicted,53.5457363450043
3,Protecting unfished pixels,MPA coverage: 30%,52062022.39838269,Predicted,52.062022398382695
1,Visalli et al. 2020,MPA coverage: 16%,53900977.395556234,Predicted,53.90097739555623
2,Visalli et al. 2020,MPA coverage: 16%,52879351.1975149,Predicted,52.8793511975149
3,Visalli et al. 2020,MPA coverage: 16%,53038093.404769026,Predicted,53.03809340476903
1,Expert-derived EBSA,MPA coverage: 20%,51949030.20783532,Predicted,51.949030207835314
2,Expert-derived EBSA,MPA coverage: 20%,50782408.64923896,Predicted,50.78240864923896
3,Expert-derived EBSA,MPA coverage: 20%,49135327.780981004,Predicted,49.135327780981
1,Sala et al. 2021 food,MPA coverage: 3%,53389092.09433628,Predicted,53.38909209433628
2,Sala et al. 2021 food,MPA coverage: 3%,52394113.01271108,Predicted,52.39411301271108
