shapley_value,observed_data,variable_name_code,variable_name
-0.0198179636119834,-35,lon,Longitude
0.10305726202070802,179,lon,Longitude
-0.02112808616317572,-99,lon,Longitude
0.07380139608945371,129,lon,Longitude
-0.061372240394285,-75,lon,Longitude
0.21006293897576114,155,lon,Longitude
0.03826266850197387,-5,lon,Longitude
0.1376919901338953,139,lon,Longitude
-0.07167117324703745,0,lon,Longitude
-0.034871825764962554,-66,lon,Longitude
-0.06969574451600787,-1,lon,Longitude
0.2508939846357075,151,lon,Longitude
-0.2562655045850764,-118,lon,Longitude
-0.17585715649834238,-62,lon,Longitude
-0.035630611796511016,-81,lon,Longitude
0.08186028578338435,-154,lon,Longitude
0.013692090331689775,-147,lon,Longitude
0.36707153610494175,156,lon,Longitude
0.10473065330276647,151,lon,Longitude
0.03334528202668047,0,lon,Longitude
-0.4169587581759486,-140,lon,Longitude
-0.0293379544735417,-9,lon,Longitude
0.025616048201840262,79,lon,Longitude
0.3035817300895104,164,lon,Longitude
-0.28901365851985283,92,lon,Longitude
0.12091405962274913,62,lon,Longitude
-0.2893378980822339,-176,lon,Longitude
-0.3876984607069176,-86,lon,Longitude
-0.1016225578071348,-5,lon,Longitude
-0.021042034600727334,-152,lon,Longitude
0.21278577145125807,144,lon,Longitude
0.022447614764305304,-106,lon,Longitude
-0.23855618819102245,-51,lon,Longitude
-0.21616087910744344,-155,lon,Longitude
-0.06440624146937744,-164,lon,Longitude
0.1981344663375324,58,lon,Longitude
-0.335901465736317,-178,lon,Longitude
0.10098049063246686,123,lon,Longitude
0.01464102847315546,170,lon,Longitude
0.27599073347065534,138,lon,Longitude
-0.3968102802439635,-93,lon,Longitude
-0.15786126291574304,-164,lon,Longitude
-0.02856448552370727,-28,lon,Longitude
-0.31370209201560834,-121,lon,Longitude
0.17284840628206097,151,lon,Longitude
-0.021982660405200357,-14,lon,Longitude
0.0746578169119003,71,lon,Longitude
-0.004149608095679525,-15,lon,Longitude
0.06297771193389777,-39,lon,Longitude
-0.027516804745279934,-59,lon,Longitude
-0.174508755361892,-168,lon,Longitude
-0.02407288203161709,-118,lon,Longitude
0.09551435835481137,69,lon,Longitude
0.009094650722056183,-3,lon,Longitude
-0.011694813403264791,-74,lon,Longitude
-0.15786175814116943,-117,lon,Longitude
-0.05571236822501611,143,lon,Longitude
-0.23965862026288667,-63,lon,Longitude
0.1360825192768016,-159,lon,Longitude
-0.2945247439471266,-16,lon,Longitude
0.18260543606676183,65,lon,Longitude
0.003182744507366531,-176,lon,Longitude
-0.027261734163467326,-121,lon,Longitude
-0.5974988731026776,-91,lon,Longitude
-0.13993780551909799,-103,lon,Longitude
0.06826178188139996,162,lon,Longitude
0.4539702517477473,76,lon,Longitude
-0.07608107355033143,-172,lon,Longitude
0.42721392265830327,80,lon,Longitude
-0.06673492356408026,-174,lon,Longitude
0.15998569369914048,-164,lon,Longitude
0.14724900754885842,11,lon,Longitude
-0.16193520106259884,-105,lon,Longitude
0.11290009407539274,67,lon,Longitude
-0.04964141292149739,-34,lon,Longitude
0.2867422099791882,148,lon,Longitude
0.08959620963967008,35,lon,Longitude
-0.4386422881344065,-149,lon,Longitude
-0.040765340925977264,28,lon,Longitude
0.02305134349618467,171,lon,Longitude
-0.010972574155600765,155,lon,Longitude
-0.12937990289909312,-35,lon,Longitude
-0.2399367463299419,-28,lon,Longitude
-0.36751166150580056,-177,lon,Longitude
-0.033552198738907364,7,lon,Longitude
0.7289039143239913,83,lon,Longitude
0.23164537693180481,139,lon,Longitude
-0.12330611136486024,-80,lon,Longitude
-0.12113029940266086,-91,lon,Longitude
-0.05222583408353103,10,lon,Longitude
0.03347988390252355,158,lon,Longitude
0.00423024664861012,-150,lon,Longitude
-0.06573912769518189,-47,lon,Longitude
0.1638183853573209,-157,lon,Longitude
-0.10778234912146878,-26,lon,Longitude
0.040591663559150344,14,lon,Longitude
-0.5495677240109595,-120,lon,Longitude
0.1845446206262237,102,lon,Longitude
0.17522266478352214,48,lon,Longitude
0.18654555890734426,170,lon,Longitude
0.3164984830233364,161,lon,Longitude
0.1883121802336798,-97,lon,Longitude
0.46477798946777843,82,lon,Longitude
0.027247390913028403,147,lon,Longitude
0.2200340485800435,144,lon,Longitude
-0.3166709074124648,-137,lon,Longitude
0.035178393271016295,134,lon,Longitude
