pixel_id,fishing_hours,pixel_area_m2
1,0,970432999.302124
2,0,970432999.3020782
3,0,970432999.3021088
4,0,970432999.302063
5,0,970432999.3021088
6,0,1186209896.4647522
7,0,1186209896.4646912
8,0,1186209896.4647675
9,0,1186209896.4647064
10,0,1186209896.4647522
11,0,1186209896.464737
12,0,1186209896.4646606
13,0,1186209896.4647064
14,0,1186209896.4647522
15,0,1186209896.4646912
16,0,1186209896.4647827
17,0,1186209896.4647064
18,0,1186209896.4647522
19,0,1186209896.4647217
20,0,1186209896.464737
21,0,1186209896.4646606
22,0,1186209896.4647675
23,0,1186209896.464737
24,0,1186209896.464737
25,0,1186209896.4647064
26,0,1186209896.4647675
27,0,1186209896.4646912
28,0,1186209896.4647064
29,0,1186209896.4647064
30,0,1186209896.4646912
31,0,1186209896.4647675
32,0,1186209896.4647064
33,0,1186209896.4647522
34,0,1401524547.291916
35,0,1401524547.2919312
36,0,1401524547.2918854
37,0,1401524547.2919006
38,0,1401524547.2919006
39,0,1401524547.291916
40,0,1401524547.2919006
41,0,1401524547.2918854
42,0,1401524547.291916
43,0,1401524547.29187
44,0,1401524547.2919006
45,0,1401524547.2918549
46,0,1401524547.291977
47,0,1401524547.2918549
48,0,1401524547.2919312
49,0,1401524547.2918396
50,0,1401524547.291916
51,0,1401524547.2918854
52,0,1401524547.291916
53,0,1401524547.29187
54,0,1401524547.291916
55,0,1401524547.2918854
56,0,1401524547.2918854
57,0,1401524547.2919006
58,0,1401524547.2919006
59,0,1401524547.2919083
60,0,1401524547.2918854
61,0,1401524547.2918777
62,0,1401524547.2919006
63,0,1401524547.2919006
64,0,1401524547.291977
65,0,1401524547.2918854
66,0,1401524547.291916
67,0,1401524547.29187
68,0,1401524547.2919006
69,0,1401524547.2918549
70,0,1401524547.2918854
71,0,1401524547.2919006
72,0,1401524547.2918854
73,0,1401524547.2919006
74,0,1401524547.29187
75,0,1401524547.291916
76,0,1401524547.2919312
77,0,1616351865.0349731
78,0,1616351865.0350037
79,0,1616351865.0350037
80,0,1616351865.0350647
81,0,1616351865.0350037
82,0,1616351865.0349884
83,0,1616351865.035019
84,0,1616351865.0349884
85,0,1616351865.0350342
86,0,1616351865.0349731
87,0,1616351865.035019
88,0,1616351865.034958
89,0,1616351865.03508
90,0,1616351865.034958
91,0,1616351865.0350342
92,0,1616351865.0350037
93,0,1616351865.0349274
94,0,1616351865.0350494
95,0,1616351865.0350037
96,0,1616351865.035019
97,0,1616351865.0349884
98,0,1616351865.0350342
99,0,1616351865.0349731
100,0,1616351865.035019
101,0,1616351865.035019
102,0,1616351865.0349884
103,0,1616351865.0350494
104,0,1616351865.0350113
105,0,1616351865.0350113
106,0,1616351865.0350037
107,0,1616351865.034996
