year,mpa,flag,fishing_hours
2016,Inside 2020 MPA area,Japan,9218.097500000005
2016,Inside 2020 MPA area,Taiwan,7057.246666666672
2016,Outside 2020 MPA area,Japan,4586.42694444444
2016,Outside 2020 MPA area,Taiwan,163.2416666666667
2017,Inside 2020 MPA area,Japan,11971.448888888883
2017,Inside 2020 MPA area,Taiwan,21267.200277777793
2017,Outside 2020 MPA area,Japan,8705.950277777785
2017,Outside 2020 MPA area,Taiwan,1990.5547222222237
2018,Inside 2020 MPA area,Japan,20914.22944444443
2018,Inside 2020 MPA area,Taiwan,60625.657500000074
2018,Outside 2020 MPA area,Japan,8731.914444444448
2018,Outside 2020 MPA area,Taiwan,3216.2891666666683
2019,Inside 2020 MPA area,Japan,14451.482777777763
2019,Inside 2020 MPA area,Taiwan,60275.060555555625
2019,Outside 2020 MPA area,Japan,8843.383055555543
2019,Outside 2020 MPA area,Taiwan,4544.941111111113
2020,Inside 2020 MPA area,Japan,709.6725000000001
2020,Inside 2020 MPA area,Taiwan,245.78944444444434
2020,Outside 2020 MPA area,Japan,22626.936477524436
2020,Outside 2020 MPA area,Taiwan,1738.0052777777773
2021,Inside 2020 MPA area,Japan,560.4672695088889
2021,Inside 2020 MPA area,Taiwan,25.352500000000003
2021,Outside 2020 MPA area,Japan,29944.86535079168
2021,Outside 2020 MPA area,Taiwan,152.5036111111111
