scenario,lme,fishing_hours,fishing_hours_bau,fishing_hours_delta
Protecting unfished pixels,Kuroshio Current,804687.7002182107,824983.7078202176,-0.02460170717265831
Protecting unfished pixels,Labrador - Newfoundland,354500.9263727449,372036.22498725506,-0.047133309706899836
Protecting unfished pixels,Mediterranean Sea,4335239.044638888,4473321.771376375,-0.030868051482690707
Protecting unfished pixels,New Zealand Shelf,181399.94114983047,200259.63230015567,-0.094176199834711
Protecting unfished pixels,North Australian Shelf,56799.822063692925,62570.94284276574,-0.09223323985344188
Protecting unfished pixels,North Brazil Shelf,78247.94986147375,105500.42142983215,-0.2583162341819069
Protecting unfished pixels,North Sea,2882148.705239309,3013964.696177228,-0.04373508127189019
Protecting unfished pixels,Northeast Australian Shelf,77042.06970514737,81027.21296108679,-0.04918277588855581
Protecting unfished pixels,Northeast U.S. Continental Shelf,672714.1861123829,750364.1721248667,-0.1034830671520418
Protecting unfished pixels,Northern Bering - Chukchi Seas,72815.3841075488,91645.63719863583,-0.20546807973273953
Protecting unfished pixels,Northwest Australian Shelf,42477.42004709214,46737.10106742365,-0.0911413186322025
Protecting unfished pixels,Norwegian Sea,421086.20039093326,457005.662309134,-0.07859741110582473
Protecting unfished pixels,Oyashio Current,217758.5716182056,257173.7501876587,-0.1532628370535173
Protecting unfished pixels,Pacific Central-American Coastal,35248.54123132008,38975.39600240613,-0.09562070314451648
Protecting unfished pixels,Patagonian Shelf,1029492.4168313608,1230479.8918709958,-0.16334072288985169
Protecting unfished pixels,Red Sea,1761.0324815864806,2150.897078012643,-0.18125674185507015
Protecting unfished pixels,Scotian Shelf,219291.292670458,225042.23356363512,-0.0255549405198688
Protecting unfished pixels,Sea of Japan,815429.7756596816,861070.3373334103,-0.05300445235991959
Protecting unfished pixels,Sea of Okhotsk,614619.3197273258,733511.1190252565,-0.1620858855635656
Protecting unfished pixels,Somali Coastal Current,56437.68857073805,59844.023482572666,-0.056920218822295324
Protecting unfished pixels,South Brazil Shelf,656717.4807475605,690912.6103126052,-0.04949269857670275
Protecting unfished pixels,South China Sea,6747541.125208945,6959528.323243551,-0.030459995015266694
Protecting unfished pixels,South West Australian Shelf,7010.44741020962,8236.36277167355,-0.1488418365543697
Protecting unfished pixels,Southeast Australian Shelf,22534.198158559146,24781.437415381173,-0.09068236112192694
Protecting unfished pixels,Southeast U.S. Continental Shelf,90403.1023566515,94181.83997459948,-0.040121722180911826
Protecting unfished pixels,Sulu-Celebes Sea,6258.918199789324,6776.666783872243,-0.07640165889742533
Protecting unfished pixels,West Bering Sea,192722.55436845057,259909.12368189037,-0.258500234088247
Protecting unfished pixels,West Central Australian Shelf,20391.33217380913,21825.23611325273,-0.06569935518694822
Protecting unfished pixels,Yellow Sea,6722036.721589335,7217296.116826487,-0.06862118267289853
Sala et al. 2021 food,Agulhas Current,270905.72333929694,338893.00887025957,-0.2006157806489027
Sala et al. 2021 food,Aleutian Islands,25420.023082413027,34854.659372501046,-0.270685080845506
Sala et al. 2021 food,Antarctica,7061.150380406808,9264.639921561136,-0.23783865965759302
Sala et al. 2021 food,Arabian Sea,410343.222454996,453953.07585776417,-0.09606687501866888
Sala et al. 2021 food,Baltic Sea,342136.35096220503,376119.76629402,-0.09035264396407573
Sala et al. 2021 food,Barents Sea,1137727.3213847766,1503674.4979993647,-0.24336861275593885
Sala et al. 2021 food,Bay of Bengal,184224.87687879105,192708.22765722784,-0.044021736287908834
Sala et al. 2021 food,Beaufort Sea,82.45163941418944,131.99341362283172,-0.375335199301738
Sala et al. 2021 food,Benguela Current,447755.3603778372,781223.1226317697,-0.42685342073664256
Sala et al. 2021 food,Black Sea,228095.86411155722,237079.75376020427,-0.037893955540943644
Sala et al. 2021 food,California Current,132682.4557333213,155087.41791063594,-0.14446666582729992
Sala et al. 2021 food,Canadian E. Arctic − W. Greenland,105197.81953231053,180416.61859264056,-0.41691724214256115
Sala et al. 2021 food,Canary Current,556322.5443727749,893713.8652550619,-0.3775160417657804
Sala et al. 2021 food,Caribbean Sea,34121.88139067731,41039.648770146174,-0.16856302592192549
Sala et al. 2021 food,Celtic-Biscay Shelf,2954695.194339238,3529995.0504005575,-0.16297469198888498
Sala et al. 2021 food,East Bering Sea,195945.52259940724,234876.2612003573,-0.16574999279191024
Sala et al. 2021 food,East Brazil Shelf,17958.541270954756,19832.028857132245,-0.09446777229268309
Sala et al. 2021 food,East Central Australian Shelf,80771.93608887201,97635.93076324521,-0.1727232438154992
Sala et al. 2021 food,East China Sea,4827326.9199370975,5234887.556129369,-0.07785470687237041
Sala et al. 2021 food,Faroe Plateau,199506.9036509438,247183.41497526178,-0.19287908668585013
Sala et al. 2021 food,Greenland Sea,44274.981248288765,63396.08692162936,-0.3016133424288194
Sala et al. 2021 food,Guinea Current,459122.3383866733,596656.826996152,-0.23050853084492692
Sala et al. 2021 food,Gulf of Alaska,282925.6610415494,338344.9387584965,-0.16379520237630685
Sala et al. 2021 food,Gulf of California,5299.732506369697,5588.200606396537,-0.05162092779859137
Sala et al. 2021 food,Gulf of Mexico,623417.3668660969,807351.1533474427,-0.22782377373057416
Sala et al. 2021 food,Gulf of Thailand,55862.68015854448,59270.45125590416,-0.057495278425440076
Sala et al. 2021 food,Hudson Bay Complex,2740.123833575374,4404.903457305499,-0.37793782312506763
Sala et al. 2021 food,Humboldt Current,192828.52933045896,276771.772909552,-0.3032940920840413
Sala et al. 2021 food,Iberian Coastal,880308.2856959553,1135834.2292995346,-0.22496763789304128
Sala et al. 2021 food,Iceland Shelf and Sea,529120.6009185215,695846.4363815242,-0.23960147921428587
Sala et al. 2021 food,Indonesian Sea,19973.765259425727,22302.413213802414,-0.10441237600850944
Sala et al. 2021 food,Insular Pacific-Hawaiian,28716.903182653878,34125.85833209683,-0.15850019351324565
Sala et al. 2021 food,Kuroshio Current,738685.9664153857,824983.7078202171,-0.10460538867227868
Sala et al. 2021 food,Labrador - Newfoundland,322384.2547498964,372036.224987255,-0.13346004206730014
Sala et al. 2021 food,Mediterranean Sea,3674314.7236951566,4473321.771376373,-0.17861604608768716
Sala et al. 2021 food,New Zealand Shelf,168322.70748143047,200259.63230015567,-0.15947759641771989
Sala et al. 2021 food,North Australian Shelf,32296.194665810744,62570.94284276573,-0.4838467633935496
Sala et al. 2021 food,North Brazil Shelf,81870.63265131137,105500.42142983216,-0.2239781458525912
Sala et al. 2021 food,North Sea,2454443.429066413,3013964.696177229,-0.1856429399523114
Sala et al. 2021 food,Northeast Australian Shelf,55484.59951457064,81027.21296108679,-0.315234999614055
Sala et al. 2021 food,Northeast U.S. Continental Shelf,601042.8639292074,750364.1721248665,-0.19899845134238475
Sala et al. 2021 food,Northern Bering - Chukchi Seas,70533.6245479976,91645.63719863584,-0.2303657140260736
Sala et al. 2021 food,Northwest Australian Shelf,43663.468006163974,46737.10106742364,-0.06576430696515806
Sala et al. 2021 food,Norwegian Sea,348690.13866966387,457005.6623091342,-0.23701133831073198
Sala et al. 2021 food,Oyashio Current,177655.61527915963,257173.75018765865,-0.30920004413543356
Sala et al. 2021 food,Pacific Central-American Coastal,33018.75948113032,38975.396002406094,-0.1528306863362735
Sala et al. 2021 food,Patagonian Shelf,961014.0150821557,1230479.8918709953,-0.21899250736971054
Sala et al. 2021 food,Red Sea,2005.769556636278,2150.8970780126433,-0.06747301991337416
Sala et al. 2021 food,Scotian Shelf,204798.25074079703,225042.23356363512,-0.08995637175416546
Sala et al. 2021 food,Sea of Japan,745500.0947683176,861070.33733341,-0.1342169594681359
Sala et al. 2021 food,Sea of Okhotsk,591341.5208709352,733511.1190252564,-0.19382064493207224
Sala et al. 2021 food,Somali Coastal Current,40389.14211486603,59844.02348257268,-0.32509313771946086
Sala et al. 2021 food,South Brazil Shelf,537236.3859797084,690912.6103126049,-0.2224249811613156
Sala et al. 2021 food,South China Sea,6174222.924403926,6959528.323243553,-0.11283888251691568
Sala et al. 2021 food,South West Australian Shelf,6675.903819920199,8236.36277167355,-0.18945971601931771
Sala et al. 2021 food,Southeast Australian Shelf,18189.427782441915,24781.437415381177,-0.2660059431761524
Sala et al. 2021 food,Southeast U.S. Continental Shelf,87473.47860324067,94181.83997459948,-0.07122775869709101
Sala et al. 2021 food,Sulu-Celebes Sea,6751.033748654659,6776.666783872243,-0.0037825432524716367
Sala et al. 2021 food,West Bering Sea,162447.70028015977,259909.12368189037,-0.37498269403199636
Sala et al. 2021 food,West Central Australian Shelf,16367.544945973754,21825.236113252737,-0.2500633275607479
Sala et al. 2021 food,Yellow Sea,6225923.147269325,7217296.116826488,-0.13736071702058392
Random,Agulhas Current,226409.8772493031,338893.0088702593,-0.3319134023919002
Random,Aleutian Islands,26128.765235716095,34854.65937250103,-0.2503508653901615
Random,Antarctica,7250.531271274729,9264.639921561135,-0.21739740209428657
Random,Arabian Sea,379985.0795890544,453953.0758577642,-0.16294194312692795
Random,Baltic Sea,348380.577375849,376119.7662940198,-0.07375094691643132
Random,Barents Sea,1111355.964305836,1503674.4979993645,-0.2609065553851631
Random,Bay of Bengal,172948.16665101642,192708.2276572278,-0.10253875118066477
Random,Beaufort Sea,0,131.99341362283172,-1
Random,Benguela Current,417207.06700851076,781223.1226317701,-0.46595658151664626
Random,Black Sea,228490.3637933049,237079.7537602043,-0.03622995987918564
Random,California Current,138527.23729552224,155087.417910636,-0.10677965265148727
Random,Canadian E. Arctic − W. Greenland,112886.72995689164,180416.61859264062,-0.37429971342176344
Random,Canary Current,625949.0211639791,893713.8652550614,-0.29960914169622244
Random,Caribbean Sea,19791.42254337024,41039.648770146174,-0.5177487347852917
Random,Celtic-Biscay Shelf,2889948.23649816,3529995.0504005547,-0.1813166321096591
Random,East Bering Sea,185031.72751977513,234876.2612003572,-0.2122161406429364
Random,East Brazil Shelf,12504.164769682873,19832.02885713224,-0.36949644134942
Random,East Central Australian Shelf,84747.66923778705,97635.93076324521,-0.13200326380572502
Random,East China Sea,4854285.161913779,5234887.55612937,-0.07270497983666441
Random,Faroe Plateau,198300.7465658821,247183.4149752618,-0.19775869029996174
Random,Greenland Sea,49487.20661644249,63396.08692162936,-0.21939651137113736
Random,Guinea Current,349728.0708823239,596656.8269961519,-0.41385390217854756
Random,Gulf of Alaska,284237.0429661121,338344.93875849666,-0.15991932963715952
Random,Gulf of California,1631.5796908500085,5588.200606396537,-0.7080312956227054
Random,Gulf of Mexico,624137.9848180264,807351.1533474429,-0.2269312030704077
Random,Gulf of Thailand,55055.16990146962,59270.45125590416,-0.07111944088690636
Random,Hudson Bay Complex,3208.815098189571,4404.9034573055,-0.27153565809307917
Random,Humboldt Current,152734.60884345602,276771.772909552,-0.4481568433159217
Random,Iberian Coastal,907752.106064439,1135834.2292995343,-0.20080581950391904
Random,Iceland Shelf and Sea,547538.7125230121,695846.4363815242,-0.21313283521250484
Random,Indonesian Sea,17599.7990239084,22302.41321380241,-0.21085674204008023
Random,Insular Pacific-Hawaiian,17027.5022916041,34125.85833209683,-0.5010381240553587
Random,Kuroshio Current,714048.9891383336,824983.7078202175,-0.13446898118145512
Random,Labrador - Newfoundland,330109.2461731246,372036.22498725494,-0.11269595807657352
Random,Mediterranean Sea,3741047.9885369088,4473321.771376375,-0.1636979900540793
Random,New Zealand Shelf,158392.5121505852,200259.63230015576,-0.2090642016500797
Random,North Australian Shelf,47731.42299407619,62570.94284276574,-0.2371631171673363
Random,North Brazil Shelf,55767.5717504551,105500.42142983216,-0.47139953571137294
Random,North Sea,2517803.9997117417,3013964.696177229,-0.16462060657007496
Random,Northeast Australian Shelf,76045.9578318076,81027.21296108679,-0.061476323166532114
Random,Northeast U.S. Continental Shelf,607712.8376623843,750364.1721248666,-0.19010946919083982
Random,Northern Bering - Chukchi Seas,66223.36658992745,91645.63719863583,-0.2773974996060892
Random,Northwest Australian Shelf,37746.72317584838,46737.101067423646,-0.19236062327882955
Random,Norwegian Sea,368489.2235608707,457005.662309134,-0.19368783813533538
Random,Oyashio Current,198947.11419765739,257173.75018765873,-0.2264097169618345
Random,Pacific Central-American Coastal,31279.647259205623,38975.3960024061,-0.19745145739443903
Random,Patagonian Shelf,901208.4808627256,1230479.8918709955,-0.26759592999735987
Random,Red Sea,1765.837481603243,2150.897078012643,-0.1790227902328
Random,Scotian Shelf,204808.68474366164,225042.23356363518,-0.08991000711096347
Random,Sea of Japan,759487.4880408975,861070.3373334103,-0.11797276585684942
Random,Sea of Okhotsk,564042.8107022415,733511.1190252564,-0.23103713621712627
Random,Somali Coastal Current,36644.01271350709,59844.0234825727,-0.3876746485105858
Random,South Brazil Shelf,533586.6412860797,690912.6103126053,-0.22770747946740047
Random,South China Sea,6108554.730545557,6959528.32324355,-0.12227460729714928
Random,South West Australian Shelf,6813.4228059941615,8236.36277167355,-0.1727631486283187
Random,Southeast Australian Shelf,19974.475025222633,24781.437415381184,-0.1939743167268819
Random,Southeast U.S. Continental Shelf,87505.46520395447,94181.83997459948,-0.07088813270632219
Random,Sulu-Celebes Sea,6079.157088603736,6776.666783872243,-0.1029281382004066
Random,West Bering Sea,174670.49089966438,259909.12368189037,-0.3279555237412589
Random,West Central Australian Shelf,16534.233620672898,21825.23611325273,-0.24242589931785558
Random,Yellow Sea,6265597.367510754,7217296.116826487,-0.13186361400593385
Sala et al. 2021 multi-objective,Agulhas Current,179396.05133793695,338893.00887025945,-0.4706410381967594
Sala et al. 2021 multi-objective,Aleutian Islands,24967.797317874993,34854.659372501046,-0.2836596952207313
Sala et al. 2021 multi-objective,Antarctica,6120.470125026322,9264.639921561133,-0.3393731243906783
Sala et al. 2021 multi-objective,Arabian Sea,354506.97840062995,453953.0758577642,-0.2190669096563043
Sala et al. 2021 multi-objective,Baltic Sea,341883.1267427685,376119.7662940199,-0.09102589818288877
Sala et al. 2021 multi-objective,Barents Sea,1079228.6275603774,1503674.4979993652,-0.28227244061378437
Sala et al. 2021 multi-objective,Bay of Bengal,175724.51705529456,192708.22765722775,-0.08813173577696069
Sala et al. 2021 multi-objective,Beaufort Sea,76.14165258276843,131.99341362283172,-0.42314051517493495
Sala et al. 2021 multi-objective,Benguela Current,264075.48201484804,781223.1226317701,-0.6619717538246495
Sala et al. 2021 multi-objective,Black Sea,222318.3844188726,237079.75376020424,-0.06226330636508982
Sala et al. 2021 multi-objective,California Current,131297.71010651073,155087.417910636,-0.15339547285411187
Sala et al. 2021 multi-objective,Canadian E. Arctic − W. Greenland,104409.61513509498,180416.61859264056,-0.42128604366075845
Sala et al. 2021 multi-objective,Canary Current,533967.5093934212,893713.8652550617,-0.40252967962958763
Sala et al. 2021 multi-objective,Caribbean Sea,28864.357929997717,41039.64877014617,-0.2966714191034995
Sala et al. 2021 multi-objective,Celtic-Biscay Shelf,2810336.7188325007,3529995.0504005556,-0.20386950159785458
Sala et al. 2021 multi-objective,East Bering Sea,194826.07997450262,234876.26120035723,-0.17051608800810433
Sala et al. 2021 multi-objective,East Brazil Shelf,14614.68329164211,19832.028857132245,-0.2630767433365148
Sala et al. 2021 multi-objective,East Central Australian Shelf,73460.13403009876,97635.93076324521,-0.24761167885795748
Sala et al. 2021 multi-objective,East China Sea,4709347.854822453,5234887.556129372,-0.1003917840969822
Sala et al. 2021 multi-objective,Faroe Plateau,195348.65101035775,247183.41497526187,-0.2097016256939882
Sala et al. 2021 multi-objective,Greenland Sea,44592.325416694985,63396.08692162936,-0.29660760494854677
Sala et al. 2021 multi-objective,Guinea Current,345476.763482243,596656.826996152,-0.42097911588218356
Sala et al. 2021 multi-objective,Gulf of Alaska,279752.8163562709,338344.93875849654,-0.17317274677499295
Sala et al. 2021 multi-objective,Gulf of California,5447.773953893805,5588.200606396536,-0.025129135905033913
Sala et al. 2021 multi-objective,Gulf of Mexico,614941.5558771051,807351.1533474426,-0.23832206924157856
Sala et al. 2021 multi-objective,Gulf of Thailand,54400.984278092175,59270.45125590416,-0.08215673872276988
Sala et al. 2021 multi-objective,Hudson Bay Complex,2727.1608172166702,4404.903457305499,-0.38088068361777716
Sala et al. 2021 multi-objective,Humboldt Current,164405.06798666302,276771.77290955203,-0.40599047995985493
Sala et al. 2021 multi-objective,Iberian Coastal,794591.0053902897,1135834.2292995343,-0.30043400269746084
Sala et al. 2021 multi-objective,Iceland Shelf and Sea,527994.9506045046,695846.4363815241,-0.2412191498024553
Sala et al. 2021 multi-objective,Indonesian Sea,17274.53911744336,22302.41321380241,-0.22544080984238168
Sala et al. 2021 multi-objective,Insular Pacific-Hawaiian,23087.476058790882,34125.85833209683,-0.32346094172593687
Sala et al. 2021 multi-objective,Kuroshio Current,669766.6329029942,824983.7078202174,-0.1881456245085612
Sala et al. 2021 multi-objective,Labrador - Newfoundland,312997.8421851446,372036.22498725506,-0.15868987705198048
Sala et al. 2021 multi-objective,Mediterranean Sea,3552340.7063851417,4473321.771376374,-0.20588303548480494
Sala et al. 2021 multi-objective,New Zealand Shelf,142014.6904824639,200259.6323001558,-0.29084714252542143
Sala et al. 2021 multi-objective,North Australian Shelf,44557.112857675544,62570.94284276573,-0.28789449489928687
Sala et al. 2021 multi-objective,North Brazil Shelf,76393.84341143795,105500.42142983213,-0.27589063270001096
Sala et al. 2021 multi-objective,North Sea,2430578.2454371382,3013964.6961772293,-0.19356114273004954
Sala et al. 2021 multi-objective,Northeast Australian Shelf,40268.292262036666,81027.21296108677,-0.5030275534544738
Sala et al. 2021 multi-objective,Northeast U.S. Continental Shelf,592612.972209952,750364.1721248666,-0.21023285196066585
Sala et al. 2021 multi-objective,Northern Bering - Chukchi Seas,65917.81833402168,91645.63719863586,-0.2807315181720089
Sala et al. 2021 multi-objective,Northwest Australian Shelf,37508.28595200107,46737.10106742364,-0.19746229236830382
Sala et al. 2021 multi-objective,Norwegian Sea,354586.3175791841,457005.6623091345,-0.22410957495023426
Sala et al. 2021 multi-objective,Oyashio Current,178028.3980865102,257173.75018765865,-0.307750507364754
Sala et al. 2021 multi-objective,Pacific Central-American Coastal,32625.23523157474,38975.396002406116,-0.16292742145427727
Sala et al. 2021 multi-objective,Patagonian Shelf,941777.8855609947,1230479.8918709958,-0.23462553774122846
Sala et al. 2021 multi-objective,Red Sea,795.1662113579232,2150.897078012643,-0.6303095022600382
Sala et al. 2021 multi-objective,Scotian Shelf,201490.56327129906,225042.23356363515,-0.10465444605390652
Sala et al. 2021 multi-objective,Sea of Japan,737084.6963263098,861070.3373334102,-0.14399014300163096
Sala et al. 2021 multi-objective,Sea of Okhotsk,553110.8924288312,733511.119025256,-0.2459406843568425
Sala et al. 2021 multi-objective,Somali Coastal Current,48476.50104171991,59844.02348257269,-0.1899525095294293
Sala et al. 2021 multi-objective,South Brazil Shelf,502350.53944203723,690912.610312605,-0.272917396579652
Sala et al. 2021 multi-objective,South China Sea,5854361.116960778,6959528.323243552,-0.1587991534701738
Sala et al. 2021 multi-objective,South West Australian Shelf,4352.771100337993,8236.36277167355,-0.4715178020924458
Sala et al. 2021 multi-objective,Southeast Australian Shelf,18956.078922932225,24781.43741538118,-0.23506943502935426
Sala et al. 2021 multi-objective,Southeast U.S. Continental Shelf,86485.40344195021,94181.8399745995,-0.08171890180447723
Sala et al. 2021 multi-objective,Sulu-Celebes Sea,6400.089963756324,6776.666783872243,-0.055569623256691965
Sala et al. 2021 multi-objective,West Bering Sea,163109.0823766979,259909.1236818904,-0.37243802731476494
Sala et al. 2021 multi-objective,West Central Australian Shelf,12430.305452874463,21825.23611325273,-0.4304618108884271
Sala et al. 2021 multi-objective,Yellow Sea,6112423.958463237,7217296.11682649,-0.15308671564512102
Sala et al. 2021 carbon,Agulhas Current,146481.96950971382,338893.0088702595,-0.5677633775980536
Sala et al. 2021 carbon,Aleutian Islands,22057.57611098365,34854.659372501046,-0.36715559675254755
Sala et al. 2021 carbon,Antarctica,6504.4765337500385,9264.639921561135,-0.29792451851123813
Sala et al. 2021 carbon,Arabian Sea,321550.8467053891,453953.07585776446,-0.29166501163626984
Sala et al. 2021 carbon,Baltic Sea,341573.6854157968,376119.76629401994,-0.0918486183765673
Sala et al. 2021 carbon,Barents Sea,1055463.7480991397,1503674.4979993647,-0.2980769777611899
Sala et al. 2021 carbon,Bay of Bengal,159367.76627378902,192708.22765722772,-0.17301005664761626
Sala et al. 2021 carbon,Beaufort Sea,0,131.99341362283172,-1
Sala et al. 2021 carbon,Benguela Current,113813.42572251697,781223.1226317704,-0.854313803028379
Sala et al. 2021 carbon,Black Sea,212556.37878206934,237079.75376020427,-0.10343934726260617
Sala et al. 2021 carbon,California Current,122681.87827236445,155087.41791063597,-0.2089501525968028
Sala et al. 2021 carbon,Canadian E. Arctic − W. Greenland,104710.64099458294,180416.61859264056,-0.4196175396069959
Sala et al. 2021 carbon,Canary Current,353679.53068314353,893713.8652550615,-0.6042586509696757
Sala et al. 2021 carbon,Caribbean Sea,18888.045411551873,41039.648770146174,-0.5397610365200842
Sala et al. 2021 carbon,Celtic-Biscay Shelf,2599990.302864997,3529995.0504005547,-0.26345780497058435
Sala et al. 2021 carbon,East Bering Sea,159605.376429952,234876.2612003572,-0.32047038038551134
Sala et al. 2021 carbon,East Brazil Shelf,13331.553084137846,19832.02885713225,-0.32777663948671687
Sala et al. 2021 carbon,East Central Australian Shelf,72481.8555835625,97635.93076324523,-0.2576313349301516
Sala et al. 2021 carbon,East China Sea,2109916.1600018707,5234887.55612937,-0.5969510066111288
Sala et al. 2021 carbon,Faroe Plateau,183940.3488702508,247183.4149752618,-0.25585481174511804
Sala et al. 2021 carbon,Greenland Sea,43507.73035391733,63396.08692162936,-0.31371583852325363
Sala et al. 2021 carbon,Guinea Current,223883.93538554784,596656.8269961519,-0.6247693393324875
Sala et al. 2021 carbon,Gulf of Alaska,189104.6537377659,338344.9387584968,-0.4410891605718841
Sala et al. 2021 carbon,Gulf of California,3189.7558737496756,5588.200606396537,-0.4291980373613432
Sala et al. 2021 carbon,Gulf of Mexico,325486.5502628377,807351.1533474426,-0.5968463673913091
Sala et al. 2021 carbon,Gulf of Thailand,46647.83715085289,59270.45125590417,-0.2129663911373358
Sala et al. 2021 carbon,Hudson Bay Complex,2727.1608172166702,4404.903457305499,-0.38088068361777716
Sala et al. 2021 carbon,Humboldt Current,95888.45309302211,276771.77290955203,-0.6535468480582444
Sala et al. 2021 carbon,Iberian Coastal,704739.232195575,1135834.2292995346,-0.37954041706404157
Sala et al. 2021 carbon,Iceland Shelf and Sea,524005.349146535,695846.4363815242,-0.24695260081891232
Sala et al. 2021 carbon,Indonesian Sea,4576.76101116222,22302.413213802414,-0.7947862875964573
Sala et al. 2021 carbon,Insular Pacific-Hawaiian,4297.60928978446,34125.85833209683,-0.8740658990035607
Sala et al. 2021 carbon,Kuroshio Current,426851.1784341875,824983.7078202176,-0.48259441442544476
Sala et al. 2021 carbon,Labrador - Newfoundland,301066.7008504065,372036.22498725506,-0.19075971470057732
Sala et al. 2021 carbon,Mediterranean Sea,2550288.1141497307,4473321.771376375,-0.4298894100423622
Sala et al. 2021 carbon,New Zealand Shelf,109945.18749547853,200259.6323001558,-0.45098677036074336
Sala et al. 2021 carbon,North Australian Shelf,5637.769082044961,62570.94284276574,-0.9098979681956832
Sala et al. 2021 carbon,North Brazil Shelf,36917.981858097366,105500.42142983216,-0.6500679205091958
Sala et al. 2021 carbon,North Sea,2417716.237009599,3013964.696177228,-0.19782861422493858
Sala et al. 2021 carbon,Northeast Australian Shelf,39626.639967923635,81027.21296108677,-0.510946526237373
Sala et al. 2021 carbon,Northeast U.S. Continental Shelf,453506.5991463756,750364.1721248667,-0.39561799990777224
Sala et al. 2021 carbon,Northern Bering - Chukchi Seas,61050.38472823941,91645.63719863583,-0.33384297829784565
Sala et al. 2021 carbon,Northwest Australian Shelf,8493.33715889717,46737.10106742364,-0.8182741983366799
Sala et al. 2021 carbon,Norwegian Sea,354190.3707650775,457005.662309134,-0.2249759686227012
Sala et al. 2021 carbon,Oyashio Current,183751.61914596712,257173.7501876587,-0.28549621020075233
Sala et al. 2021 carbon,Pacific Central-American Coastal,18967.07441777347,38975.3960024061,-0.5133577496787317
Sala et al. 2021 carbon,Patagonian Shelf,488610.38357011776,1230479.8918709953,-0.6029107124805059
Sala et al. 2021 carbon,Red Sea,1601.355419934916,2150.897078012643,-0.2554941673850266
Sala et al. 2021 carbon,Scotian Shelf,185356.45160619178,225042.23356363518,-0.17634815176246219
Sala et al. 2021 carbon,Sea of Japan,548156.6815031614,861070.3373334103,-0.36340080741753306
Sala et al. 2021 carbon,Sea of Okhotsk,519651.03525307646,733511.1190252563,-0.2915567034026326
Sala et al. 2021 carbon,Somali Coastal Current,23169.849627108724,59844.023482572695,-0.6128293473807612
Sala et al. 2021 carbon,South Brazil Shelf,110915.81343407091,690912.6103126048,-0.8394647719863054
Sala et al. 2021 carbon,South China Sea,3573146.47638872,6959528.323243551,-0.4865820914249225
