scenario,lme,fishing_hours,fishing_hours_bau,fishing_hours_delta
Protecting unfished pixels,Agulhas Current,303309.61830406234,338893.0088702594,-0.10499889237850778
Protecting unfished pixels,Aleutian Islands,27001.227836283033,34854.659372501046,-0.22531941719143758
Protecting unfished pixels,Antarctica,7169.491804836549,9264.639921561133,-0.22614458138288251
Protecting unfished pixels,Arabian Sea,409380.202699736,453953.0758577646,-0.09818828316959005
Protecting unfished pixels,Baltic Sea,362070.30506931356,376119.76629401994,-0.03735369019059649
Protecting unfished pixels,Barents Sea,1276016.6516611017,1503674.497999364,-0.1514010157392179
Protecting unfished pixels,Bay of Bengal,177412.7805356682,192708.2276572278,-0.07937101237195637
Protecting unfished pixels,Beaufort Sea,0,131.99341362283172,-1
Protecting unfished pixels,Benguela Current,661941.3221681992,781223.1226317697,-0.1526859574531489
Protecting unfished pixels,Black Sea,231119.05033126572,237079.75376020424,-0.025142186687807634
Protecting unfished pixels,California Current,151263.4505529316,155087.41791063605,-0.024656851014876517
Protecting unfished pixels,Canadian E. Arctic − W. Greenland,118238.69086074851,180416.6185926406,-0.34463525708949516
Protecting unfished pixels,Canary Current,735711.4940208021,893713.8652550612,-0.17679301773970582
Protecting unfished pixels,Caribbean Sea,33555.295355125214,41039.648770146174,-0.18236884669601186
Protecting unfished pixels,Celtic-Biscay Shelf,3337991.3014893946,3529995.0504005556,-0.05439207312468439
Protecting unfished pixels,East Bering Sea,198342.74605763878,234876.26120035714,-0.15554366778494516
Protecting unfished pixels,East Brazil Shelf,16114.684450720295,19832.028857132238,-0.18744145811763813
Protecting unfished pixels,East Central Australian Shelf,96220.11777644393,97635.93076324524,-0.014500942181157394
Protecting unfished pixels,East China Sea,5195746.57535188,5234887.556129371,-0.0074769477582497254
Protecting unfished pixels,Faroe Plateau,239640.79866842198,247183.4149752618,-0.030514249135989557
Protecting unfished pixels,Greenland Sea,52696.31750522036,63396.08692162935,-0.16877649608935824
Protecting unfished pixels,Guinea Current,492305.0666990605,596656.8269961517,-0.1748941025655343
Protecting unfished pixels,Gulf of Alaska,311221.8885940569,338344.9387584966,-0.08016390097030407
Protecting unfished pixels,Gulf of California,5588.271951013316,5588.200606396536,1.2767010672018108e-5
Protecting unfished pixels,Gulf of Mexico,679078.9956572081,807351.1533474426,-0.15888025570830233
Protecting unfished pixels,Gulf of Thailand,52158.042350476884,59270.45125590417,-0.11999923663005331
Protecting unfished pixels,Hudson Bay Complex,3204.248773786684,4404.903457305499,-0.2725723038327975
Protecting unfished pixels,Humboldt Current,246133.65449449068,276771.772909552,-0.11069813259126582
Protecting unfished pixels,Iberian Coastal,1092971.1857072704,1135834.2292995346,-0.03773705923504144
Protecting unfished pixels,Iceland Shelf and Sea,598998.5649583217,695846.4363815243,-0.13917994885024032
Protecting unfished pixels,Indonesian Sea,18406.088100799367,22302.41321380241,-0.17470419347228777
Protecting unfished pixels,Insular Pacific-Hawaiian,33814.89058760592,34125.858332096825,-0.009112378697253882
